update,score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0,0.506,15,30,2,-15,10,0.1,51.44,15,30,2,0,10,3.8,50,60,33.37,2,0,10,10,252.21,53.62,60,2,0,1,0.1,300
2,0.51,60,30,2,-15,10,0.1,50,15,60,2,-11.48,1,0.1,224.2,15,60,2,0,1,0.1,50,15,30,0.95,-15,10,0.1,50
12,0.503,15,30,2,-4.41,10,10,300,15,30,0,-15,10,0.1,50,60,60,2,0,10,10,50,15,30,0.49,-15,1,0.1,50
4,0.478,60,30,2,-15,10,4.64,50,42.42,60,0,-15,1,0.1,50,15,30,0.26,-14.69,10,4.15,50,15,30,0.51,-15,9.54,0.1,50
5,0.516,15,30,1.42,-15,10,0.1,146.63,15,30,0,0,10,10,50,15,30,0,-15,1,0.1,300,60,30,2,0,1,10,300
18,0.509,15,30,1.26,-6.78,1,0.1,300,15,30,2,-15,6.24,0.1,50,60,53.51,2,-11.32,10,0.1,50,60,60,2,0,1,10,50
7,0.507,15,30,2,-15,5.45,0.1,81.53,15,30,0,0,10,10,50,60,30,2,-1.89,1,1.14,300,25.17,30,2,0,1,9.77,50
1,0.524,15,30,2,-15,8.21,0.1,50,15,30,2,0,10,10,300,15,30,0,-15,1,0.1,300,60,60,2,0,1,0.1,50
8,0.483,15,30,0,-15,1,0.1,300,15,30,0,-15,10,0.1,50,60,30,2,-0.25,5.87,0.1,300,60,60,2,0,1,10,50
17,0.518,15,60,2,-10.2,5.59,0.1,300,15,30,2,-15,4.25,0.1,50,60,30,2,-7.85,10,0.1,50,60,30,0.31,-15,1,1.72,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
