update,score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0,0.45,15,30,0.17,-15,7.25,0.1,300,15,58.88,2,-15,4.29,10,50,36.63,60,2,-15,1,0.97,50,15,30,0.85,-7.78,1,9.42,204.01
9,0.487,15,30,1.22,-15,9.69,0.1,50,58.78,30,2,-15,1,10,300,15,30,0,-15,1,10,50,60,30,2,-15,1,10,50
1,0.502,15,30,2,-15,1,10,50,15,30,0,-15,10,0.1,294.75,15,30,0,-15,10,10,300,15,30,2,-15,10,10,50
13,0.492,25.86,30,2,-15,10,0.1,50,16.52,30,1.82,-15,1,10,300,15,30,0,-15,1,10,50,60,30,1.77,-15,1,4.79,50
2,0.489,15,30,1.92,-15,10,10,50,15,30,0,-15,10,0.1,300,15,30,0,-15,1,10,50,37.4,59.6,0,0,10,0.1,285.23
5,0.495,15,30,0,-15,10,0.1,50,15,30,0,-15,1,10,300,15,30,0,-15,1,10,50,15,30,1.95,-15,1,9.27,50
7,0.508,15,30,0.95,-15,10,0.1,50,15,30,1.29,-15,1,10,300,15,30,0,-15,1,10,50,60,30,2,-15,1,10,50
6,0.495,15,30,0.29,-15,10,0.1,50,15,30,0,-15,1,10,300,15,30,0,-15,1,10,50,60,30,2,-15,1,10,50
3,0.523,15,30,0,-15,10,0.1,50,15,30,0,-15,10,0.1,300,15,30,0,-15,1,10,50,15,30,2,-15,1,10,50
4,0.515,15,30,1.82,-15,10,0.1,50,60,30,2,-15,6.82,0.1,300,15,30,0,-15,1,10,50,60,30,2,-15,1,10,64.04
