update,score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
7,0.62,15,60,0,-15,10,0.1,300,60,39.28,2,-15,10,0.1,50,60,47.75,1.42,-15,10,10,300,15,30,2,0,7.73,10,50
3,0.643,15,60,0.05,-15,10,8.95,300,15,33.63,2,-15,8.63,0.1,50,15,50.44,0.45,-15,3.86,0.1,300,15,30,0,-8.74,5.51,7.16,177.79
2,0.649,15,30,0,0,10,10,50,15,30,2,-15,10,0.1,50,60,30,0,-4.91,1,10,300,15,30,0,0,10,10,191.33
16,0.637,15,30,2,0,5.91,8.16,300,15,30,0.13,-12.29,10,0.1,50,21.83,30,2,-15,6.93,4.16,300,21.24,30,0,-4.94,10,6.17,285.42
4,0.65,60,41.94,1.04,-15,10,0.1,67.8,15,30,2,-15,10,0.1,50,53.16,30,0,0,10,0.1,300,15,30,1.57,-15,5.1,8.53,50
5,0.65,15,30,1.88,0,10,10,50,15,30,2,-15,10,0.1,50,60,30,0,0,10,0.1,300,15,30,0,-15,10,10,50
9,0.647,15,60,1.96,-15,10,0.1,300,15,30,1.4,-15,9.03,0.1,50,60,60,2,0,10,2.02,124.48,15,30,0,-7.26,10,10,50
8,0.638,15,60,0,0,10,10,50,15,30,2,-15,5.36,0.1,50,60,30,0,0,8.18,0.1,207.26,15,30,0.91,-15,10,10,50
0,0.649,15,30,0,0,10,10,50,15,30,2,-15,10,0.1,50,60,30,0,0,10,10,300,15,30,0,-2.16,6.44,10,300
1,0.657,15,30,0,-15,3.54,0.1,50,15,30,1.79,-15,8.87,0.1,50,15,60,0,-15,10,0.1,186.66,15,60,0,-15,1.55,0.75,270.72
