reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.382,15,60,0.81,-13.59,1,0.16,60.42,36.49,40.27,1.67,-14.09,10,0.1,190.33,29.19,39.74,0,-4.52,6.53,8.9,109.08,39.34,36.66,0.51,-15,8.4,0.12,258.49
0.351,15,60,0.88,-15,1,0.1,50,46.51,59.75,1.64,-10.98,10,0.1,145.35,53.78,54.26,0,-3.99,3.21,9.54,55.21,54.49,30,0,-15,7.06,0.1,192.25
0.275,15,60,0.3,-1.89,1,0.1,56.16,60,60,0,0,10,0.1,167.33,41.96,60,0,-13.01,6.82,8.71,50,60,30,0,-15,10,0.1,210.61
0.302,15,41.79,0,0,1,0.1,50,60,60,0,-4.93,10,0.54,50,27.02,60,0,-12.96,8.71,9.66,50,60,30,0,-15,10,0.1,76.42
0.292,32.06,30,0,-1.02,1,0.1,50,51.89,60,0.05,-8.36,10,4.73,116.71,34.47,55.93,0,-15,3.09,8.35,50,60,30,0,-15,10,0.1,90.66
0.338,23.84,30,0,0,1,0.1,50,15,60,0.2,0,10,0.1,50,60,47.07,0,-15,4.24,10,50,60,30,0,-15,10,0.1,272.42
0.356,33.67,30,0,0,3.67,0.1,50,15,48.26,0.95,-4.57,10,0.1,50,60,51.45,0,-15,1,10,50,60,30,0,-15,10,0.1,195.53
0.402,36.91,30,0,-10.07,6.15,0.1,50,15,31.45,1.35,-2,10,0.4,81.9,60,46.12,0,-13.07,1,10,50,55.4,30,0,-15,10,0.1,300
0.394,45.12,30,0,-7.82,10,0.1,50,15,46.17,0.02,-12.93,10,0.1,152.46,48.14,50.18,0,-2.82,1,10,50,45.45,30,0,-15,10,0.1,300
0.415,60,30,0,-11.62,10,0.1,50,15,45.59,0,-15,10,0.1,300,42.77,49.75,0,0,1,10,50,30.93,30,0,-15,10,0.1,300
0.411,60,30,0,-11.07,9.62,0.1,50,15,57.54,0,-15,10,0.1,300,26.85,44.16,0,0,1,10,50,60,30,0,-15,10,0.1,300
0.426,58.37,30,0,-15,4.1,0.1,50,15,60,0,-15,10,1.23,50,35.63,45.81,0,0,1,10,50,55.08,30,0,-15,10,0.1,300
