reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.236,29.06,37.21,1.77,-7.14,1,0.1,300,60,39.86,1.31,-9.72,3.36,7.86,208.07,48.84,48.46,2,-4.89,5.44,9.25,275.72,60,49.05,1.49,-7.71,1,9.5,96.16
0.357,15,42.37,1.86,-5.69,1,0.1,300,60,30,0.4,-13.4,8.86,4.62,263.62,32.8,51.95,1.61,-10.13,10,4.55,176.09,27.63,30,2,-3.74,5.68,2.87,50
0.333,39.64,48.05,2,-1.82,1,0.1,300,60,30,0,-15,10,4.64,253.46,15,58.16,0.6,-15,3.81,9.53,300,30.53,30,1.66,0,1.89,0.1,83.19
0.434,15,30,2,0,1,0.1,266.98,48.88,30,0,-15,10,2.88,251.55,15,45.04,1.82,-15,5.17,8.57,300,15,30,1.24,-2.25,1,1.75,169.89
0.425,17.56,38.81,2,0,1,0.1,245.21,60,30,0,-15,10,0.1,118.29,15,60,1.49,-4.35,8.54,0.56,300,15,32.85,1.1,-4.66,1,0.1,228.33
0.434,15,36.41,2,0,1,0.1,232.53,60,30.61,0,-15,10,0.1,79.32,15,57.96,0,-7.04,5.35,3.64,204.99,15,33.76,1.41,0,1,0.1,300
0.357,42.23,30,2,0,1,0.1,300,60,36.73,0,-15,10,0.1,200.89,15,60,1.58,-11.69,1,5.97,300,15,43.24,0.72,0,1,0.1,223.84
0.329,55.16,60,2,0,1,0.1,140.98,60,58,0,-15,10,0.1,97.9,15,46.03,2,-11.73,1,10,118.52,19.66,40.3,2,0,1,0.1,210.25
0.326,60,60,2,-0.98,1,0.1,300,60,60,0,-15,8.32,0.1,190.45,15,37.11,2,-5.61,1,10,50,15,48.37,2,0,1,0.1,227.99
0.356,60,60,2,-7.32,1,0.1,300,60,49.77,0,-15,8.03,0.1,86.68,15,30,2,0,1,10,50,15,49.46,2,0,1,0.1,300
0.331,60,60,2,-15,1,0.1,300,60,50.12,0,-15,9.79,0.1,164.42,15,39.65,2,0,1,10,50,15,60,2,0,1,0.1,214.21
0.36,60,60,2,-15,1,0.1,300,60,43.59,0,-15,10,0.1,113.52,15,30,2,0,1,10,50,15,54.67,2,0,1,0.1,227.28
0.373,46.58,60,2,-15,1,0.1,300,60,40.6,0,-15,10,0.1,50,15,30,2,0,1,10,50,15,43.62,1.32,0,1,0.1,295.82
0.379,33.07,60,2,-15,1,0.1,300,60,37.55,0,-15,9.34,0.1,50,15,30,2,-5.1,1,10,50,15,44.54,0.45,0,1,0.1,300
0.342,58.83,60,2,-15,1,0.1,300,60,44.28,0,-15,4.4,0.1,50,15,30,2,-8.56,1,10,50,15,50.23,0.76,0,1,0.1,290.92
0.354,36.4,60,2,-15,1,0.1,300,60,47.93,0,-15,6.13,0.1,50,15,30,2,0,1,10,50,15,41.79,0.81,0,1,0.1,300
0.381,60,60,2,-15,1,0.1,300,60,39.08,0,-15,6.2,0.1,50,15,30,2,0,1,10,75.77,15,30,1.11,0,1,0.1,300
0.37,60,60,2,-15,1,0.1,300,60,44.26,0,-15,4.83,0.1,50,15,30,2,-8.28,1,10,209.64,15,30,1.91,0,1,0.1,300
0.403,60,60,2,-15,1,0.1,300,58.39,30,0,-15,3.49,0.1,50,15,30,2,0,1,10,300,15,30,1.32,0,1,0.1,300
0.41,60,60,2,-15,1,0.1,300,37.62,30,0,-15,3.93,0.1,50,15,30,2,-7.77,1,10,300,15,30,1.34,0,1,0.1,300
