reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.576,60,30,1.76,-11.79,8.15,7.73,279.09,15,30,0.5,-1.8,10,10,300,36.89,41.61,1.67,0,10,8.51,218.65,31.33,57.52,1.99,-10.46,10,8.96,169.51
0.558,60,30,1.02,0,5.87,6.83,300,21.13,30,0.79,0,9.7,10,289.77,15,34.93,1.77,0,10,6.08,300,39.82,60,1.91,0,10,10,50
0.572,60,30,0.59,0,10,0.23,300,15,30,1.26,0,8.39,10,238.23,15,45.96,2,0,10,5.69,285.74,52.8,60,2,-10.91,10,10,50
0.569,60,30,0,0,10,2.28,300,15,30,2,0,6.34,10,50,15,60,2,0,10,8.13,300,60,47.39,2,0,10,10,50
0.561,60,30,0,0,10,0.1,300,15,30,2,-6.42,1.12,10,50,22.41,60,1.87,0,10,10,300,60,60,2,-13.71,4.95,9.79,50
0.554,60,30,1.49,0,10,0.1,237.81,15,30,2,-0.13,1,10,50,40.14,60,2,0,10,10,300,47.5,60,2,-8.7,1.01,8.08,50
0.55,60,30,0.13,0,10,0.1,182.54,15,30,2,-13.46,1,10,50,41.8,60,1.59,0,9.39,10,300,38.64,59.36,2,-1.93,4.51,6.34,50
0.538,60,38.94,0,0,10,0.1,50,15,30,2,-12.7,1,10,50,60,60,1.81,0,3.53,10,300,38.42,60,2,0,8.79,7.67,50
0.562,60,39.25,0.37,0,10,0.1,50,15,30,2,0,1,10,50,30.51,60,1.67,0,4.65,7.83,300,15,60,2,-5.64,10,8.36,50
0.581,60,30,1.62,0,10,8.4,50,15,30,2,-14.29,1,10,50,15,60,0.6,0,9.27,7.79,300,19.84,60,2,0,7.76,0.1,50
